index,model,tipus,snormatiu,sno_normatiu,pnormatiu,pno_normatiu
35,BSC-LT/salamandra-7b,alt_prep,Va mostrar interès a aprendre nous mètodes per fer aquests exercicis.,Va mostrar interès en aprendre nous mètodes per fer aquests exercicis.,4.598734378814697,4.379410743713379
36,BSC-LT/salamandra-7b,alt_prep,L'exercici es basa a explicar les circumstàncies del conflicte.,L'exercici es basa en explicar les circumstàncies del conflicte.,4.580929279327393,4.523931503295898
37,BSC-LT/salamandra-7b,alt_prep,Ens complaem a acceptar la vostra col·laboració.,Ens complaem en acceptar la vostra col·laboració.,4.611094951629639,4.350964546203613
38,BSC-LT/salamandra-7b,alt_prep,"Engrescat a fundar la coral, tot el temps que hi dedica li sembla poc.","Engrescat en fundar la coral, tot el temps que hi dedica li sembla poc.",4.436933517456055,4.425504684448242
39,BSC-LT/salamandra-7b,alt_prep,"Estava tan capficat a completar la jugada, que no es va adonar que el temps s'havia acabat. ","Estava tan capficat en completar la jugada, que no es va adonar que el temps s'havia acabat. ",2.716282367706299,2.675787687301636
40,BSC-LT/salamandra-7b,motiu_de,"Amb motiu de la seva jubilació, li van organitzar una festa sorpresa.","En motiu de la seva jubilació, li van organitzar una festa sorpresa.",2.50318455696106,2.7087864875793457
41,BSC-LT/salamandra-7b,motiu_de,La botiga va tancar amb motiu de les obres al carrer.,La botiga va tancar en motiu de les obres al carrer.,3.803096055984497,4.239948749542236
42,BSC-LT/salamandra-7b,motiu_de,Es va organitzar un concert benèfic amb motiu de la recaptació de fons.,Es va organitzar un concert benèfic en motiu de la recaptació de fons.,2.718578577041626,2.91858172416687
43,BSC-LT/salamandra-7b,motiu_de,"Amb motiu del Dia del Llibre, les llibreries fan descomptes.","En motiu del Dia del Llibre, les llibreries fan descomptes.",2.866889715194702,3.158663272857666
44,BSC-LT/salamandra-7b,motiu_de,Van cancel·lar el vol amb motiu del mal temps.,Van cancel·lar el vol en motiu del mal temps.,3.947465658187866,4.087483882904053
45,BSC-LT/salamandra-7b,motiu_de,L'ajuntament va emetre un comunicat amb motiu de la nova normativa.,L'ajuntament va emetre un comunicat en motiu de la nova normativa.,3.023621320724488,3.2549474239349365
46,BSC-LT/salamandra-7b,motiu_de,Es va tallar el trànsit amb motiu de la manifestació.,Es va tallar el trànsit en motiu de la manifestació.,4.167168140411377,4.420384883880615
47,BSC-LT/salamandra-7b,motiu_de,La reunió es va ajornar amb motiu de l'absència del director.,La reunió es va ajornar en motiu de l'absència del director.,3.014110565185547,3.249185562133789
48,BSC-LT/salamandra-7b,motiu_de,"Amb motiu de la celebració, el museu ofereix entrada gratuïta.","En motiu de la celebració, el museu ofereix entrada gratuïta.",3.2669126987457275,3.634500741958618
49,BSC-LT/salamandra-7b,motiu_de,L'empresa va fer una donació amb motiu de la campanya solidària.,L'empresa va fer una donació en motiu de la campanya solidària.,3.186307907104492,3.3795886039733887
50,BSC-LT/salamandra-7b,confiar,Pots confiar en mi per guardar el secret.,Pots confiar amb mi per guardar el secret.,5.0463738441467285,5.777754783630371
51,BSC-LT/salamandra-7b,confiar,"No confio en les seves promeses, sempre les incompleix.","No confio amb les seves promeses, sempre les incompleix.",3.3915700912475586,3.560762643814087
52,BSC-LT/salamandra-7b,confiar,Cal confiar en el criteri dels experts.,Cal confiar amb el criteri dels experts.,5.771873474121094,6.410722255706787
53,BSC-LT/salamandra-7b,confiar,He après a no confiar en qualsevol que sembli amable.,He après a no confiar amb qualsevol que sembli amable.,5.18714714050293,5.42874002456665
54,BSC-LT/salamandra-7b,confiar,"Perquè la relació funcioni, heu de confiar l'un en l'altre.","Perquè la relació funcioni, heu de confiar l'un amb l'altre.",2.485555410385132,2.74180555343628
55,BSC-LT/salamandra-7b,confiar,Confiem en que tot sortirà bé al final.,Confiem amb que tot sortirà bé al final.,4.130876541137695,4.638823986053467
56,BSC-LT/salamandra-7b,confiar,És difícil confiar en algú que t'ha mentit abans.,És difícil confiar amb algú que t'ha mentit abans.,2.409903049468994,2.7059519290924072
57,BSC-LT/salamandra-7b,confiar,Els ciutadans confien en la justícia del seu país.,Els ciutadans confien amb la justícia del seu país.,3.517632484436035,3.829763889312744
58,BSC-LT/salamandra-7b,confiar,Confio plenament en les teves capacitats per liderar el projecte.,Confio plenament amb les teves capacitats per liderar el projecte.,3.784649610519409,4.13171911239624
59,BSC-LT/salamandra-7b,confiar,La directora confia en tot el seu equip per assolir els objectius.,La directora confia amb tot el seu equip per assolir els objectius.,4.20208215713501,4.523643493652344
60,BSC-LT/salamandra-7b,anar,Vés amb compte quan creuis el carrer.,Vés en compte quan creuis el carrer.,4.979024887084961,4.84820032119751
61,BSC-LT/salamandra-7b,anar,"Aneu amb compte amb el terra, que rellisca.","Aneu en compte amb el terra, que rellisca.",4.015148639678955,4.005210876464844
62,BSC-LT/salamandra-7b,anar,Cal anar amb compte a l'hora de signar contractes.,Cal anar en compte a l'hora de signar contractes.,3.31985855102539,3.6263303756713854
63,BSC-LT/salamandra-7b,anar,Sempre vaig amb compte amb el que dic en públic.,Sempre vaig en compte amb el que dic en públic.,3.890136480331421,4.120786666870117
64,BSC-LT/salamandra-7b,anar,Van anar amb molt de compte per no fer soroll.,Van anar en molt de compte per no fer soroll.,3.4802017211914062,4.492565631866455
65,BSC-LT/salamandra-7b,anar,"Si no vas amb compte, et pots fer mal.","Si no vas en compte, et pots fer mal.",3.50380802154541,4.606213569641113
66,BSC-LT/salamandra-7b,anar,"Anem amb compte, que no sabem què ens trobarem.","Anem en compte, que no sabem què ens trobarem.",3.1755294799804688,3.383636236190796
67,BSC-LT/salamandra-7b,anar,El metge li va dir que anés amb compte amb els greixos.,El metge li va dir que anés en compte amb els greixos.,2.6730568408966064,3.060673236846924
68,BSC-LT/salamandra-7b,anar,"És una situació delicada, hem d'anar amb compte.","És una situació delicada, hem d'anar en compte.",3.366252183914185,3.62591552734375
69,BSC-LT/salamandra-7b,anar,Aneu amb compte amb les estafes per internet.,Aneu en compte amb les estafes per internet.,4.184146404266357,4.104252815246582
70,BSC-LT/salamandra-7b,propens,És molt propens a agafar refredats a l'hivern.,És molt propens de agafar refredats a l'hivern.,3.3867976665496826,4.044370174407959
71,BSC-LT/salamandra-7b,propens,Aquesta planta és propensa a les plagues si no la cuides bé.,Aquesta planta és propensa de les plagues si no la cuides bé.,2.9665842056274414,3.5837879180908203
72,BSC-LT/salamandra-7b,propens,Els adolescents són més propensos a prendre riscos innecessaris.,Els adolescents són més propensos de prendre riscos innecessaris.,2.656169414520264,3.0596890449523926
73,BSC-LT/salamandra-7b,propens,Les persones amb pells clares són propenses a les cremades solars.,Les persones amb pells clares són propenses de les cremades solars.,2.453397274017334,3.0425682067871094
74,BSC-LT/salamandra-7b,propens,El meu oncle és propens a explicar sempre les mateixes anècdotes.,El meu oncle és propens de explicar sempre les mateixes anècdotes.,3.5086398124694824,4.165842533111572
75,BSC-LT/salamandra-7b,propens,Aquesta zona és propensa a les inundacions quan plou fort.,Aquesta zona és propensa de les inundacions quan plou fort.,2.676269769668579,3.506158828735352
76,BSC-LT/salamandra-7b,propens,Som propensos a oblidar les claus a casa.,Som propensos de oblidar les claus a casa.,5.863943576812744,6.434742450714111
77,BSC-LT/salamandra-7b,propens,No sóc gens propens a enfadar-me per tonteries.,No sóc gens propens de enfadar-me per tonteries.,3.1915178298950195,3.8763928413391113
78,BSC-LT/salamandra-7b,propens,Les economies inestables són propenses a patir crisis financeres.,Les economies inestables són propenses de patir crisis financeres.,2.9756524562835693,3.5254364013671875
79,BSC-LT/salamandra-7b,propens,Aquest material és propens a l'oxidació si s'exposa a la humitat.,Aquest material és propens de l'oxidació si s'exposa a la humitat.,2.33353853225708,2.835517644882202
0,facebook/xglm-7.5B,caiguda_prep,Em refereixo al que va cantar.,Em refereixo a que va cantar.,7.082801342010498,7.28706693649292
1,facebook/xglm-7.5B,caiguda_prep,Parlo del que va sortir l’altre dia al diari,Parlo de que va sortir l’altre dia al diari,4.909728050231934,5.2700676918029785
2,facebook/xglm-7.5B,caiguda_prep,Depèn del que decideixin els experts.,Depèn de que decideixin els experts.,6.053823947906494,6.549646854400635
3,facebook/xglm-7.5B,caiguda_prep,No es recorda del que li vaig explicar.,No es recorda de que li vaig explicar.,6.791333198547363,7.028140068054199
4,facebook/xglm-7.5B,caiguda_prep,No m’havia adonat del que estava equivocat.,No m’havia adonat de que estava equivocat.,4.9799652099609375,4.68589973449707
5,facebook/xglm-7.5B,caiguda_prep,Em refereixo al que va fer una nova pel·lícula.,Em refereixo a que va fer una nova pel·lícula.,5.335739135742188,5.15032958984375
6,facebook/xglm-7.5B,caiguda_prep,Parlo del que moure la caixa de lloc. ,Parlo de que moure la caixa de lloc. ,6.622439384460449,6.416215896606445
7,facebook/xglm-7.5B,caiguda_prep,Depèn del que vulgin fer.,Depèn de que vulgin fer.,6.910932540893555,7.242334365844727
8,facebook/xglm-7.5B,caiguda_prep,No es recorda del que va veure aquell dia.,No es recorda de que va veure aquell dia.,6.170594692230225,6.572204113006592
9,facebook/xglm-7.5B,caiguda_prep,No m'havia adonat del que estava mal col·locat.,No m'havia adonat de que estava mal col·locat.,4.312328338623047,3.9922220706939697
10,facebook/xglm-7.5B,a_od,Això afecta el trànsit aeri.,Això afecta al trànsit aeri.,6.446850299835205,6.371438980102539
11,facebook/xglm-7.5B,a_od,He vist el cotxe nou.,He vist al cotxe nou.,8.127447128295898,8.839500427246094
12,facebook/xglm-7.5B,a_od,L’entrenador felicitarà els jugadors després del partit.,L’entrenador felicitarà als jugadors després del partit.,4.729372501373291,4.829885005950928
13,facebook/xglm-7.5B,a_od,L’empresa vol formar els seus treballadors.,L’empresa vol formar als seus treballadors.,5.917560577392578,5.922328948974609
14,facebook/xglm-7.5B,a_od,Estic esperant el professor per resoldre un dubte.,Estic esperant al professor per resoldre un dubte.,5.774430751800537,5.712358951568604
15,facebook/xglm-7.5B,a_od,Han acomiadat el empleats més antics de l’empresa.,Han acomiadat al empleats més antics de l’empresa.,4.750032901763916,4.779645442962647
16,facebook/xglm-7.5B,a_od,Sempre ajuda els seus companys quan ho necessiten.,Sempre ajuda als seus companys quan ho necessiten.,5.300880432128906,5.312483787536621
17,facebook/xglm-7.5B,a_od,El professor ha avisat els alumnes sobre el canvi d’horari.,El professor ha avisat als alumnes sobre el canvi d’horari.,4.505906105041504,4.494027137756348
18,facebook/xglm-7.5B,a_od,El jutge ha interrogat els testimonis del cas.,El jutge ha interrogat als testimonis del cas.,4.77631425857544,4.856203079223633
19,facebook/xglm-7.5B,a_od,Han seleccionat els millors candidats per al lloc de feina.,Han seleccionat als millors candidats per al lloc de feina.,5.043727397918701,5.332512855529785
20,facebook/xglm-7.5B,com_reg,Al restaurant fa molta olor de fregit.,Al restaurant fa molta olor a fregit.,6.340843677520752,6.372519493103027
21,facebook/xglm-7.5B,com_reg,Tinc por de les aranyes.,Tinc por a les aranyes.,6.031942367553711,6.060284614562988
22,facebook/xglm-7.5B,com_reg,El meu horari és diferent del teu.,El meu horari és diferent al teu.,5.970396995544434,6.024825096130371
23,facebook/xglm-7.5B,com_reg,La solució del problema és molt senzilla.,La solució al problema és molt senzilla.,5.0878987312316895,4.989977836608887
24,facebook/xglm-7.5B,com_reg,La noia va aprofitar per treure profit de la situació i va guanyar molts diners.,La noia va aprofitar per treure profit a la situació i va guanyar molts diners.,4.15318775177002,4.269585609436035
25,facebook/xglm-7.5B,com_reg,Va fer cas de les recomanacions del metge.,Va fer cas a les recomanacions del metge.,4.793889999389648,4.822522640228272
26,facebook/xglm-7.5B,com_reg,Sento una forta pudor de cremat a la cuina.,Sento una forta pudor a cremat a la cuina.,4.761166572570801,4.835669994354248
27,facebook/xglm-7.5B,com_reg,L’article fa esment de diverses investigacions recents.,L’article fa esment a diverses investigacions recents.,4.833465099334717,4.875878810882568
28,facebook/xglm-7.5B,com_reg,Va mostrar un clar rebuig de la proposta.,Va mostrar un clar rebuig a la proposta.,5.831910610198975,5.560935497283936
29,facebook/xglm-7.5B,com_reg,Hauries de fer un bon repàs de la matèria abans de l’examen.,Hauries de fer un bon repàs a la matèria abans de l’examen.,4.049418926239014,4.160990238189697
30,facebook/xglm-7.5B,alt_prep,Tenim molt d'interès a complir els nostres compromisos.,Tenim molt d'interès en complir els nostres compromisos.,4.2893147468566895,4.339230537414551
31,facebook/xglm-7.5B,alt_prep,La idea consisteix a analitzar els models.,La idea consisteix en analitzar els models.,6.0406270027160645,5.992626667022705
32,facebook/xglm-7.5B,alt_prep,La majoria d'estudiants es van mostrar d'acord a fer una pausa.,La majoria d'estudiants es van mostrar d'acord en fer una pausa.,4.039786815643311,4.115684986114502
33,facebook/xglm-7.5B,alt_prep,La van amenaçar de despatxar-la.,La van amenaçar amb despatxar-la.,5.444440364837647,5.36406135559082
34,facebook/xglm-7.5B,alt_prep,Insisteixen a tornar cap a casa.,Insisteixen en tornar cap a casa.,6.36683988571167,6.268790721893311
35,facebook/xglm-7.5B,alt_prep,Va mostrar interès a aprendre nous mètodes per fer aquests exercicis.,Va mostrar interès en aprendre nous mètodes per fer aquests exercicis.,4.618303298950195,4.62882661819458
36,facebook/xglm-7.5B,alt_prep,L'exercici es basa a explicar les circumstàncies del conflicte.,L'exercici es basa en explicar les circumstàncies del conflicte.,4.504246711730957,4.399041175842285
37,facebook/xglm-7.5B,alt_prep,Ens complaem a acceptar la vostra col·laboració.,Ens complaem en acceptar la vostra col·laboració.,4.991780757904053,4.900679111480713
38,facebook/xglm-7.5B,alt_prep,"Engrescat a fundar la coral, tot el temps que hi dedica li sembla poc.","Engrescat en fundar la coral, tot el temps que hi dedica li sembla poc.",5.481859683990479,5.441915035247803
39,facebook/xglm-7.5B,alt_prep,"Estava tan capficat a completar la jugada, que no es va adonar que el temps s'havia acabat. ","Estava tan capficat en completar la jugada, que no es va adonar que el temps s'havia acabat. ",3.2557532787323,3.2192957401275635
40,facebook/xglm-7.5B,motiu_de,"Amb motiu de la seva jubilació, li van organitzar una festa sorpresa.","En motiu de la seva jubilació, li van organitzar una festa sorpresa.",4.018494606018066,4.2783522605896
41,facebook/xglm-7.5B,motiu_de,La botiga va tancar amb motiu de les obres al carrer.,La botiga va tancar en motiu de les obres al carrer.,4.623818874359131,4.502820491790772
42,facebook/xglm-7.5B,motiu_de,Es va organitzar un concert benèfic amb motiu de la recaptació de fons.,Es va organitzar un concert benèfic en motiu de la recaptació de fons.,3.646421432495117,3.755524873733521
43,facebook/xglm-7.5B,motiu_de,"Amb motiu del Dia del Llibre, les llibreries fan descomptes.","En motiu del Dia del Llibre, les llibreries fan descomptes.",4.030299663543701,4.230673789978027
44,facebook/xglm-7.5B,motiu_de,Van cancel·lar el vol amb motiu del mal temps.,Van cancel·lar el vol en motiu del mal temps.,5.569428443908691,5.4713215827941895
45,facebook/xglm-7.5B,motiu_de,L'ajuntament va emetre un comunicat amb motiu de la nova normativa.,L'ajuntament va emetre un comunicat en motiu de la nova normativa.,4.320605754852295,4.435674667358398
46,facebook/xglm-7.5B,motiu_de,Es va tallar el trànsit amb motiu de la manifestació.,Es va tallar el trànsit en motiu de la manifestació.,4.07246208190918,4.258462905883789
47,facebook/xglm-7.5B,motiu_de,La reunió es va ajornar amb motiu de l'absència del director.,La reunió es va ajornar en motiu de l'absència del director.,3.859416484832764,4.02821683883667
48,facebook/xglm-7.5B,motiu_de,"Amb motiu de la celebració, el museu ofereix entrada gratuïta.","En motiu de la celebració, el museu ofereix entrada gratuïta.",5.08100700378418,5.238956928253174
49,facebook/xglm-7.5B,motiu_de,L'empresa va fer una donació amb motiu de la campanya solidària.,L'empresa va fer una donació en motiu de la campanya solidària.,4.041500568389893,4.184160709381104
50,facebook/xglm-7.5B,confiar,Pots confiar en mi per guardar el secret.,Pots confiar amb mi per guardar el secret.,5.562099456787109,5.915510654449463
51,facebook/xglm-7.5B,confiar,"No confio en les seves promeses, sempre les incompleix.","No confio amb les seves promeses, sempre les incompleix.",4.30814266204834,4.432809352874756
52,facebook/xglm-7.5B,confiar,Cal confiar en el criteri dels experts.,Cal confiar amb el criteri dels experts.,5.778083324432373,6.114969253540039
53,facebook/xglm-7.5B,confiar,He après a no confiar en qualsevol que sembli amable.,He après a no confiar amb qualsevol que sembli amable.,5.241660118103027,5.548488140106201
54,facebook/xglm-7.5B,confiar,"Perquè la relació funcioni, heu de confiar l'un en l'altre.","Perquè la relació funcioni, heu de confiar l'un amb l'altre.",3.4507358074188232,3.610577344894409
55,facebook/xglm-7.5B,confiar,Confiem en que tot sortirà bé al final.,Confiem amb que tot sortirà bé al final.,5.266422748565674,5.65964937210083
56,facebook/xglm-7.5B,confiar,És difícil confiar en algú que t'ha mentit abans.,És difícil confiar amb algú que t'ha mentit abans.,4.058797836303711,4.271346569061279
57,facebook/xglm-7.5B,confiar,Els ciutadans confien en la justícia del seu país.,Els ciutadans confien amb la justícia del seu país.,4.901461124420166,5.124367713928223
58,facebook/xglm-7.5B,confiar,Confio plenament en les teves capacitats per liderar el projecte.,Confio plenament amb les teves capacitats per liderar el projecte.,3.843794345855713,4.1006693840026855
59,facebook/xglm-7.5B,confiar,La directora confia en tot el seu equip per assolir els objectius.,La directora confia amb tot el seu equip per assolir els objectius.,4.815432071685791,4.975424766540527
60,facebook/xglm-7.5B,anar,Vés amb compte quan creuis el carrer.,Vés en compte quan creuis el carrer.,5.464473247528076,6.585191249847412
61,facebook/xglm-7.5B,anar,"Aneu amb compte amb el terra, que rellisca.","Aneu en compte amb el terra, que rellisca.",4.689230918884277,4.795685768127441
62,facebook/xglm-7.5B,anar,Cal anar amb compte a l'hora de signar contractes.,Cal anar en compte a l'hora de signar contractes.,3.996665954589844,4.072000980377197
63,facebook/xglm-7.5B,anar,Sempre vaig amb compte amb el que dic en públic.,Sempre vaig en compte amb el que dic en públic.,5.3121867179870605,5.296810626983643
64,facebook/xglm-7.5B,anar,Van anar amb molt de compte per no fer soroll.,Van anar en molt de compte per no fer soroll.,4.8387885093688965,5.250556945800781
65,facebook/xglm-7.5B,anar,"Si no vas amb compte, et pots fer mal.","Si no vas en compte, et pots fer mal.",4.658458232879639,4.874553680419922
66,facebook/xglm-7.5B,anar,"Anem amb compte, que no sabem què ens trobarem.","Anem en compte, que no sabem què ens trobarem.",4.31704044342041,4.372514724731445
67,facebook/xglm-7.5B,anar,El metge li va dir que anés amb compte amb els greixos.,El metge li va dir que anés en compte amb els greixos.,3.783438682556152,3.916491270065308
68,facebook/xglm-7.5B,anar,"És una situació delicada, hem d'anar amb compte.","És una situació delicada, hem d'anar en compte.",4.51761531829834,4.555065155029297
69,facebook/xglm-7.5B,anar,Aneu amb compte amb les estafes per internet.,Aneu en compte amb les estafes per internet.,4.7035064697265625,4.951089859008789
70,facebook/xglm-7.5B,propens,És molt propens a agafar refredats a l'hivern.,És molt propens de agafar refredats a l'hivern.,3.797918319702149,4.339179515838623
71,facebook/xglm-7.5B,propens,Aquesta planta és propensa a les plagues si no la cuides bé.,Aquesta planta és propensa de les plagues si no la cuides bé.,4.345698356628418,5.031801223754883
72,facebook/xglm-7.5B,propens,Els adolescents són més propensos a prendre riscos innecessaris.,Els adolescents són més propensos de prendre riscos innecessaris.,4.171136856079102,4.546019077301025
73,facebook/xglm-7.5B,propens,Les persones amb pells clares són propenses a les cremades solars.,Les persones amb pells clares són propenses de les cremades solars.,3.7279210090637207,4.3073344230651855
74,facebook/xglm-7.5B,propens,El meu oncle és propens a explicar sempre les mateixes anècdotes.,El meu oncle és propens de explicar sempre les mateixes anècdotes.,3.975388765335083,4.432883739471436
75,facebook/xglm-7.5B,propens,Aquesta zona és propensa a les inundacions quan plou fort.,Aquesta zona és propensa de les inundacions quan plou fort.,4.4945244789123535,5.124682903289795
76,facebook/xglm-7.5B,propens,Som propensos a oblidar les claus a casa.,Som propensos de oblidar les claus a casa.,5.355229377746582,6.1657538414001465
77,facebook/xglm-7.5B,propens,No sóc gens propens a enfadar-me per tonteries.,No sóc gens propens de enfadar-me per tonteries.,3.9707539081573486,4.578920841217041
78,facebook/xglm-7.5B,propens,Les economies inestables són propenses a patir crisis financeres.,Les economies inestables són propenses de patir crisis financeres.,4.536007404327393,5.028698444366455
79,facebook/xglm-7.5B,propens,Aquest material és propens a l'oxidació si s'exposa a la humitat.,Aquest material és propens de l'oxidació si s'exposa a la humitat.,3.491837739944458,3.935337543487549
0,catallama/CataLlama-v0.1-Base,caiguda_prep,Em refereixo al que va cantar.,Em refereixo a que va cantar.,4.351260662078857,4.616915225982666
1,catallama/CataLlama-v0.1-Base,caiguda_prep,Parlo del que va sortir l’altre dia al diari,Parlo de que va sortir l’altre dia al diari,3.5261802673339844,3.848111391067505
2,catallama/CataLlama-v0.1-Base,caiguda_prep,Depèn del que decideixin els experts.,Depèn de que decideixin els experts.,3.8784701824188232,4.460289001464844
3,catallama/CataLlama-v0.1-Base,caiguda_prep,No es recorda del que li vaig explicar.,No es recorda de que li vaig explicar.,3.4652202129364014,3.753718137741089
4,catallama/CataLlama-v0.1-Base,caiguda_prep,No m’havia adonat del que estava equivocat.,No m’havia adonat de que estava equivocat.,3.917052745819092,3.585415363311768
5,catallama/CataLlama-v0.1-Base,caiguda_prep,Em refereixo al que va fer una nova pel·lícula.,Em refereixo a que va fer una nova pel·lícula.,3.484982252120972,3.300825595855713
6,catallama/CataLlama-v0.1-Base,caiguda_prep,Parlo del que moure la caixa de lloc. ,Parlo de que moure la caixa de lloc. ,4.710048675537109,4.625647068023682
7,catallama/CataLlama-v0.1-Base,caiguda_prep,Depèn del que vulgin fer.,Depèn de que vulgin fer.,4.348692893981934,4.911699771881104
8,catallama/CataLlama-v0.1-Base,caiguda_prep,No es recorda del que va veure aquell dia.,No es recorda de que va veure aquell dia.,3.1847469806671143,3.412259101867676
9,catallama/CataLlama-v0.1-Base,caiguda_prep,No m'havia adonat del que estava mal col·locat.,No m'havia adonat de que estava mal col·locat.,2.916125774383545,2.7139549255371094
10,catallama/CataLlama-v0.1-Base,a_od,Això afecta el trànsit aeri.,Això afecta al trànsit aeri.,2.787295341491699,2.9066200256347656
11,catallama/CataLlama-v0.1-Base,a_od,He vist el cotxe nou.,He vist al cotxe nou.,4.154297828674316,4.415958404541016
